abalon abalone
abbrevi abbreviated abbreviation
abe abe
ablat ablation
abq abq
absorb absorb absorbs
abura abura
aburi aburi
accept accepted
access accessed
accompani accompaniments
accord according
account account accounts
accuraci accuracy
achiev achieve
acid acid
acquir acquired
across across
action actions
activ activity
actual actual actually
ad added
adam adam
adapt adapted
add add
addit addition additional
adimando adimando
adjectiv adjectival
administr administration
adolesc adolescents
advantag advantages
advisori advisory
aesthet aesthetic
afford affordable
afrikaan afrikaans
agari agari
age age
agedashi agedashi
agemochi agemochi
agemono agemono
agenc agency
agezushi agezushi
agre agree
agri agris
agricultur agriculture
ai ais
aid aid
aka aka
akagai akagai
akahan akahane
akano akano
akira akira
al al
alan alan
alaska alaska
alaskan alaskan
albuquerqu albuquerque
alcohol alcoholic
alex alex
alexand alexander
alga algae
alic alice
allan allan
allud alludes
allyl allyl
almost almost
alon alone
along along
alreadi already
also also
altern alternative
although although
alway always
amaebi amaebi
amanatt amanatt
amazak amazake
ambassador ambassador
amelia amelia
america america
american american
among among
amount amount
anago anago
analysi analysis
anchovi anchovy
anderson anderson
andi andy
andrew andrew
anemia anemia
angel angeles
anim animal
anisaki anisakis
anisakiasi anisakiasis
anko anko
ann ann
anni annie
annual annually
anoth another
anpan anpan
anti anti
antimicrobi antimicrobial antimicrobials
antiqu antiquated
aojiru aojiru
aonori aonori
aoyagi aoyagi
ap ap
apart apart
apex apex
appeal appealing
appear appear appearance appeared
appetit appetit
appli apply applying
applic applicants
appropri appropriate appropriately
approxim approximately
april april
aquacultur aquaculture
aquariu aquarius
ar ar
aragon aragon
arai arai
araki araki
arar arare
archaeolog archaeology
archiv archived
area area
argu argues
around around
arrang arranged arrangement
art art artful
articl article articles
arukikata arukikata
asazuma asazuma
ashkenazi ashkenazi
asia asia
asian asian
ask asked
asparagu asparagus
aspidistra aspidistra
associ associated association
assort assorted
asturianu asturianu
ateji ateji
atlant atlantic
attach attached
attract attractive
attribut attribute attributes attribution
august august
auspici auspicious
austin austin
australia australia
australian australian
austria austria
authent authentic
author authority
automat automatic
ava ava
avail available
avocado avocado
avoid avoids
awamori awamori
award award
away away
awkward awkward
az az
ba ba
babi baby
back back
bacon bacon
bactericid bactericidal
bag bag
bagel bagel
bahasa bahasa
bai bai
bake bake
bako bako
balao balao
ball ball
balsam balsamic
